name,lon,lat
Salton Sea,-115.82,33.23
CW3E Scripps Pier,-117.26,32.87
Armstrong Palmdale,-118.1,34.6
Rosamond Dry Lake,-118.1,34.9
SantaMonicaColg AERO,-118.5,34.0
CalTech AERO,-118.1,34.1
San Diego,-117.2,32.7
Los Angeles,-118.2,34.0
Riesel Brushy Creek,-96.89,31.48
Stiles Turkey Creek,-97.29,30.62
TAMU Farm Brazos River,-96.43,30.53
Danciger Linnville Bayou,-95.83,29.17
Sargent Caney Creek,-95.61,28.79
Univ Houston,-95.33,29.72
Mont Belview Refineries,-94.89,29.85
Bayport Petrochem,-95.06,29.63
Texas City Refineries,-94.92,29.37
Luling Gas Fields,-97.64,29.7
WA Parish Power Plant,-95.64,29.48
Freeport Refineries,-95.39,30.
Beaumont Petrochem,-94.06,30.06
Beaumont Bulk Storage,-93.99,30.
Port Aransas Field Site,-97.05,27.84
White Family Ranch,-98.12,30.14
